episodes,rounds,steps,reward_per_episode,loss_ma
80,23793,23713,-4.781400,0.033452
160,47444,47284,-1.155800,0.025068
240,70397,70157,0.363000,0.015753
320,94244,93924,0.575800,0.026855
400,115484,115084,-4.804800,0.023101
480,139915,139435,1.089400,0.034048
560,163662,163102,-2.633000,0.019763
640,185884,185244,0.601000,0.048077
720,210081,209361,-0.237000,0.218797
800,231734,230934,0.875400,0.022956
880,254766,253886,1.718600,0.026146
960,277518,276558,0.135200,0.063745
1040,295646,294606,4.026000,0.028517
1120,314349,313229,2.274200,0.035174
1200,337605,336405,-0.001800,0.059732
1280,359361,358081,4.251000,0.075306
1360,382472,381112,-1.217800,0.034114
1440,406304,404864,2.863400,0.037593
1520,430677,429157,-0.236000,0.057180
1600,455176,453576,0.702800,0.037414
1680,480845,479165,-1.778400,0.038729
1760,500632,498872,-2.893000,0.108087
1840,524124,522284,0.517600,0.041442
1920,546834,544914,3.492400,0.103169
2000,569148,567148,2.128400,0.026146
2080,594087,592007,2.844800,0.030869
2160,618889,616729,2.067600,0.058659
2240,641719,639479,0.067600,0.063815
2320,661190,658870,2.205600,0.031930
2400,680592,678192,1.161800,0.038707
2480,697556,695076,4.402600,0.059144
2560,715476,712916,-0.516600,0.035185
2640,733605,730965,0.975400,0.048963
2720,754162,751442,4.333000,0.053744
2800,775150,772350,2.701400,0.040123
2880,797511,794631,4.061600,0.036504
2960,819725,816765,4.255200,0.045772
3040,842127,839087,3.056400,0.057878
3120,862930,859810,0.991000,0.039722
3200,885979,882779,4.567800,0.085771
3280,907096,903816,1.925600,0.031447
3360,931025,927665,3.347000,0.043282
3440,948037,944597,4.618400,0.028172
3520,968270,964750,-0.656400,0.052448
3600,985900,982300,4.297000,0.054419
3680,1005681,1002001,4.452600,0.036728
3760,1025573,1021813,3.535400,0.046397
3840,1043082,1039242,4.825400,0.074401
3920,1064245,1060325,3.483000,0.077436
4000,1089042,1085042,0.110200,0.061727
4080,1109237,1105157,0.727200,0.076776
4160,1132635,1128475,-1.937800,0.031516
4240,1153607,1149367,0.179200,0.051600
4320,1174522,1170202,3.627800,0.040833
4400,1198582,1194182,4.440000,0.134183
4480,1220633,1216153,0.187600,0.046321
4560,1243509,1238949,3.771600,0.045629
4640,1266006,1261366,2.107400,0.037837
4720,1288660,1283940,4.166200,0.031257
4800,1309648,1304848,-0.335000,0.055637
4880,1334210,1329330,2.876600,0.068269
4960,1357459,1352499,4.678400,0.081272
5040,1380722,1375682,0.671200,0.048663
5120,1406817,1401697,4.443400,0.065740
5200,1431979,1426779,4.551800,0.087745
5280,1457209,1451929,2.063600,0.056911
5360,1481817,1476457,-3.387000,0.061164
5440,1505010,1499570,-2.811200,0.031562
5520,1525937,1520417,4.253200,0.039220
5600,1549862,1544262,3.111000,0.039745
5680,1571992,1566312,4.154200,0.108540
5760,1591593,1585833,4.579400,0.114060
5840,1613700,1607860,3.562400,0.029282
5920,1636025,1630105,3.088000,0.043088
6000,1656649,1650649,1.744600,0.060774
